speaker_id,display_name,rank,selected_for_labeling,total_speaking_sec,share_of_speaking,num_turns,avg_turn_sec,max_turn_sec
FACE_1,FACE_1,1,True,10.04,0.15527373956077944,6,1.6733333333333331,3.1000000000000014
FACE_2,FACE_2,2,True,9.499999999999986,0.1469223631302194,7,1.3571428571428552,2.780000000000001
7,7,3,True,5.959999999999994,0.09217445097432715,4,1.4899999999999984,3.5400000000000063
FACE_0,FACE_0,4,True,5.440000000000005,0.08413238478193637,4,1.3600000000000012,2.3999999999999915
12,12,5,True,5.019999999999982,0.07763686978038946,3,1.6733333333333273,2.8000000000000114
4,4,6,False,4.180000000000007,0.06464583977729674,4,1.0450000000000017,2.0600000000000023
3,3,7,False,3.9399999999999977,0.06093411691927,2,1.9699999999999989,2.1200000000000045
10,10,8,False,3.280000000000001,0.050726879059696896,2,1.6400000000000006,2.780000000000001
2,2,9,False,3.160000000000011,0.048871017630683744,3,1.053333333333337,2.0600000000000023
8,8,10,False,2.8200000000000074,0.04361274358181268,2,1.4100000000000037,1.6000000000000014
9,9,11,False,2.6799999999999926,0.04144757191463026,3,0.8933333333333309,1.6599999999999966
1,1,12,False,2.6400000000000006,0.04082895143829262,1,2.6400000000000006,2.6400000000000006
6,6,13,False,2.5,0.03866377977111043,2,1.25,1.5600000000000023
0,0,14,False,1.1799999999999997,0.018249304051964118,2,0.5899999999999999,0.6999999999999957
FACE_5,FACE_5,15,False,0.8599999999999994,0.013300340241261978,1,0.8599999999999994,0.8599999999999994
5,5,16,False,0.6599999999999966,0.0102072378595731,1,0.6599999999999966,0.6599999999999966
FACE_4,FACE_4,17,False,0.4000000000000057,0.006186204763377756,1,0.4000000000000057,0.4000000000000057
11,11,18,False,0.4000000000000057,0.006186204763377756,1,0.4000000000000057,0.4000000000000057
