speaker_id,display_name,rank,selected_for_labeling,total_speaking_sec,share_of_speaking,num_turns,avg_turn_sec,max_turn_sec
FACE_4,FACE_4,1,True,19.100000000000023,0.2545987736603575,12,1.5916666666666686,5.02000000000001
FACE_1,FACE_1,2,True,17.86,0.23806984804052247,12,1.4883333333333333,4.519999999999996
FACE_5,FACE_5,3,True,16.120000000000005,0.21487603305785127,9,1.7911111111111115,4.399999999999999
FACE_3,FACE_3,4,True,14.73999999999999,0.1964809384164221,8,1.8424999999999987,6.560000000000009
5,5,5,True,3.680000000000004,0.04905358571047726,1,3.680000000000004,3.680000000000004
7,7,6,False,2.3400000000000034,0.03119168221807522,2,1.1700000000000017,1.4399999999999977
8,8,7,False,1.1799999999999926,0.01572913889629422,2,0.5899999999999963,0.7399999999999949
